"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 17:14:49 GMT 2023","Sun Dec 10 17:14:53 GMT 2023","3263","test","all_test","TestAll","","","BMW logo is clickable","Ожидаем что логотип BMW - кликабельный"
"passed","Sun Dec 10 17:14:53 GMT 2023","Sun Dec 10 17:14:55 GMT 2023","1955","test","all_test","TestAll","","","First icon auto is clickable","Ожидаем что первая иконка с машиной - кликабельна"
"passed","Sun Dec 10 17:14:42 GMT 2023","Sun Dec 10 17:14:48 GMT 2023","6459","test","all_test","TestAll","","","Logo BMW is visible","Ожидаем что на странице отображается логотип компании BMW"
"passed","Sun Dec 10 17:14:56 GMT 2023","Sun Dec 10 17:15:00 GMT 2023","3346","test","all_test","TestAll","","","Car preview after click","Ожидаем что после коика на иконку, отображается превью модели машины"
